# c1_x c1_y c1_z c2_x c2_y c2_z p1_x p1_y p1_z p2_x p2_y p2_z V cs
-600 0 0 600 0 0 -400 -400 0 -368 -400 0 16.5854 1
-600 0 0 600 0 0 -368 -400 0 -336 -400 0 16.963 1
-600 0 0 600 0 0 -336 -400 0 -304 -400 0 16.9337 1
-600 0 0 600 0 0 -304 -400 0 -272 -400 0 16.9269 1
-600 0 0 600 0 0 -272 -400 0 -240 -400 0 15.9947 1
-600 0 0 600 0 0 -240 -400 0 -208 -400 0 15.8309 1
-600 0 0 600 0 0 -208 -400 0 -176 -400 0 14.3059 1
-600 0 0 600 0 0 -176 -400 0 -144 -400 0 13.9722 1
-600 0 0 600 0 0 -144 -400 0 -112 -400 0 12.5262 1
-600 0 0 600 0 0 -112 -400 0 -80 -400 0 12.1209 1
-600 0 0 600 0 0 -80 -400 0 -48 -400 0 11.2292 1
-600 0 0 600 0 0 -48 -400 0 -16 -400 0 11.026 1
-600 0 0 600 0 0 -16 -400 0 16 -400 0 10.7648 1
-600 0 0 600 0 0 16 -400 0 48 -400 0 11.026 1
-600 0 0 600 0 0 48 -400 0 80 -400 0 11.2292 1
-600 0 0 600 0 0 80 -400 0 112 -400 0 12.1209 1
-600 0 0 600 0 0 112 -400 0 144 -400 0 12.5262 1
-600 0 0 600 0 0 144 -400 0 176 -400 0 13.9722 1
-600 0 0 600 0 0 176 -400 0 208 -400 0 14.3059 1
-600 0 0 600 0 0 208 -400 0 240 -400 0 15.8309 1
-600 0 0 600 0 0 240 -400 0 272 -400 0 15.9947 1
-600 0 0 600 0 0 272 -400 0 304 -400 0 16.9269 1
-600 0 0 600 0 0 304 -400 0 336 -400 0 16.9337 1
-600 0 0 600 0 0 336 -400 0 368 -400 0 16.963 1
-600 0 0 600 0 0 368 -400 0 400 -400 0 16.5854 1
-600 0 0 600 0 0 -400 -400 0 -336 -400 0 33.5484 1
-600 0 0 600 0 0 -368 -400 0 -304 -400 0 33.8966 1
-600 0 0 600 0 0 -336 -400 0 -272 -400 0 33.8605 1
