# c1_x c1_y c1_z c2_x c2_y c2_z obs_x obs_y obs_z Bx By Bz cs
-600 0 0 600 0 0 -400 -400 0 -144.483 -186.813 -16.9623 1
-600 0 0 600 0 0 -400 -368 0 -154.729 -204.056 -17.2604 1
-600 0 0 600 0 0 -400 -336 0 -165.357 -222.677 -17.3008 1
-600 0 0 600 0 0 -400 -304 0 -176.113 -246.328 -17.2554 1
-600 0 0 600 0 0 -400 -272 0 -185.894 -271.139 -16.7509 1
-600 0 0 600 0 0 -400 -208 0 -200.082 -337.552 -14.9174 1
-600 0 0 600 0 0 -400 -176 0 -202.964 -380.584 -13.5614 1
-600 0 0 600 0 0 -16 -16 0 -0.147593 -396.428 -6.9181 1
-600 0 0 600 0 0 -400 -112 0 -179 -474.976 -9.41884 1
-600 0 0 600 0 0 -400 -80 0 -144.488 -522.253 -6.87339 1
-600 0 0 600 0 0 -400 -48 0 -98.3345 -563.442 -4.22599 1
-600 0 0 600 0 0 -400 -16 0 -32.7782 -586.61 -1.40866 1
-600 0 0 600 0 0 -400 16 0 32.7782 -586.61 1.40866 1
-600 0 0 600 0 0 -400 48 0 98.3345 -563.442 4.22599 1
-600 0 0 600 0 0 208 -144 0 39.3888 -373.109 -31.8421 1
-600 0 0 600 0 0 -400 112 0 179 -474.976 9.41884 1
-600 0 0 600 0 0 -400 144 0 194.201 -424.931 11.5579 1
-600 0 0 600 0 0 -400 176 0 202.964 -380.584 13.5614 1
-600 0 0 600 0 0 -400 208 0 200.082 -337.552 14.9174 1
-600 0 0 600 0 0 -400 240 0 195.535 -303.776 16.181 1
-600 0 0 600 0 0 -400 272 0 185.894 -271.139 16.7509 1
-600 0 0 600 0 0 -400 304 0 176.113 -246.328 17.2554 1
-600 0 0 600 0 0 -400 336 0 165.357 -222.677 17.3008 1
-600 0 0 600 0 0 -400 368 0 154.729 -204.056 17.2604 1
-600 0 0 600 0 0 -400 400 0 144.483 -186.813 16.9623 1
-600 0 0 600 0 0 -368 -400 0 -129.624 -196.719 -18.7821 1
-600 0 0 600 0 0 -368 -368 0 -137.717 -214.317 -19.2471 1
-600 0 0 600 0 0 -368 -336 0 -145.61 -233.208 -19.4359 1
-600 0 0 600 0 0 -368 -304 0 -153.436 -256.481 -19.5327 1
-600 0 0 600 0 0 -368 -272 0 -159.578 -280.765 -19.0998 1
-600 0 0 600 0 0 -368 -240 0 -165.48 -311.097 -18.5912 1
-600 0 0 600 0 0 -368 -208 0 -166.033 -342.215 -17.2329 1
-600 0 0 600 0 0 -368 -176 0 -165.165 -379.066 -15.7569 1
-600 0 0 600 0 0 -368 -144 0 -154.352 -416.236 -13.4569 1
-600 0 0 600 0 0 -368 -112 0 -138.862 -454.789 -10.9903 1
-600 0 0 600 0 0 -368 -80 0 -109.341 -490.107 -8.02342 1
-600 0 0 600 0 0 -368 -48 0 -72.7125 -518.31 -4.93532 1
-600 0 0 600 0 0 -368 -16 0 -24.2375 -534.174 -1.64511 1
-600 0 0 600 0 0 -368 16 0 24.2375 -534.174 1.64511 1
-600 0 0 600 0 0 -368 48 0 72.7125 -518.31 4.93532 1
-600 0 0 600 0 0 -368 80 0 109.341 -490.107 8.02342 1
-600 0 0 600 0 0 -368 112 0 138.862 -454.789 10.9903 1
-600 0 0 600 0 0 -368 144 0 154.352 -416.236 13.4569 1
-600 0 0 600 0 0 -368 176 0 165.165 -379.066 15.7569 1
-600 0 0 600 0 0 -368 208 0 166.033 -342.215 17.2329 1
-600 0 0 600 0 0 -368 240 0 165.48 -311.097 18.5912 1
-600 0 0 600 0 0 -368 272 0 159.578 -280.765 19.0998 1
-600 0 0 600 0 0 -368 304 0 153.436 -256.481 19.5327 1
-600 0 0 600 0 0 -368 336 0 145.61 -233.208 19.4359 1
-600 0 0 600 0 0 -368 368 0 137.717 -214.317 19.2471 1
-600 0 0 600 0 0 -368 400 0 129.624 -196.719 18.7821 1
-600 0 0 600 0 0 -336 -400 0 -114.608 -203.803 -20.8522 1
-600 0 0 600 0 0 -336 -368 0 -120.649 -221.281 -21.5534 1
-600 0 0 600 0 0 -336 -336 0 -126.033 -239.939 -21.9761 1
-600 0 0 600 0 0 -336 -304 0 -131.198 -262.368 -22.3059 1
-600 0 0 600 0 0 -336 -272 0 -134.266 -285.667 -22.0359 1
-600 0 0 600 0 0 -336 -240 0 -137.035 -313.674 -21.6802 1
-600 0 0 600 0 0 -336 -208 0 -134.768 -342.23 -20.2583 1
-600 0 0 600 0 0 -336 -176 0 -131.381 -374.304 -18.6758 1
-600 0 0 600 0 0 -336 -144 0 -120.152 -406.183 -15.9695 1
-600 0 0 600 0 0 -336 -112 0 -105.706 -437.209 -13.0569 1
-600 0 0 600 0 0 -336 -80 0 -81.6054 -465.066 -9.52554 1
-600 0 0 600 0 0 -336 -48 0 -53.2342 -485.947 -5.85478 1
-600 0 0 600 0 0 -336 -16 0 -17.7447 -497.692 -1.95159 1
-600 0 0 600 0 0 -336 16 0 17.7447 -497.692 1.95159 1
-600 0 0 600 0 0 -336 48 0 53.2342 -485.947 5.85478 1
-600 0 0 600 0 0 -336 80 0 81.6054 -465.066 9.52554 1
-600 0 0 600 0 0 -336 112 0 105.706 -437.209 13.0569 1
-600 0 0 600 0 0 -336 144 0 120.152 -406.183 15.9695 1
-600 0 0 600 0 0 -336 176 0 131.381 -374.304 18.6758 1
-600 0 0 600 0 0 -336 208 0 134.768 -342.23 20.2583 1
-600 0 0 600 0 0 -336 240 0 137.035 -313.674 21.6802 1
-600 0 0 600 0 0 -336 272 0 134.266 -285.667 22.0359 1
-600 0 0 600 0 0 -336 304 0 131.198 -262.368 22.3059 1
-600 0 0 600 0 0 -336 336 0 126.033 -239.939 21.9761 1
-600 0 0 600 0 0 -336 368 0 120.649 -221.281 21.5534 1
